GROUP;bdate;year.bdate;bday.count;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
1;23.1.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546099306.0;0;;;1
1;30.11.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546105614.0;0;;;1
1;15.10.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1546107843.0;0;;;1
1;8.3.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546109391.0;1;3140623;1.0;1
1;24.2.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1546109386.0;1;;;1
1;16.11.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546100850.0;0;;;1
1;5.5.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1546107413.0;0;;;1
1;20.1.1984;1984;287;1914764.0;Tokyo;14;229.0;Japan;;7.0;1501616533.0;0;;;1
1;13.4.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1546108459.0;0;;;1
1;18.1.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546106729.0;0;;;2
1;25.7.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546030014.0;0;;;1
1;20.2.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;1.0;1545945938.0;0;;;1
1;25.8.1984;1984;287;93.0;Nizhnevartovsk;15;1.0;Russia;;1.0;1546102670.0;0;;;1
1;26.6.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546105534.0;0;;;1
1;8.3.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1439059086.0;0;;;1
1;23.11.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546106742.0;0;;;1
1;4.12.1984;1984;287;527.0;Valday;5;1.0;Russia;;4.0;1546109395.0;0;;;1
1;4.10.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546070969.0;0;;;1
1;19.7.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109411.0;0;;;1
1;15.11.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109441.0;1;2274003;1.0;1
1;8.10.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546107335.0;0;;;1
1;12.8.1984;1984;287;141.0;Tver;82;1.0;Russia;;4.0;1546107700.0;0;;;1
1;11.7.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109439.0;1;2274003;1.0;1
1;22.9.1984;1984;287;95.0;Nizhny Novgorod;132;1.0;Russia;;4.0;1546107782.0;0;;;1
1;11.7.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546104280.0;0;;;1
1;11.5.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546108108.0;0;;;1
1;15.4.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1545675941.0;0;;;1
1;15.7.1984;1984;287;1046440.0;Sosnovy Bor;18;1.0;Russia;;7.0;1546095447.0;0;;;1
1;17.3.1984;1984;287;60.0;Kazan;219;1.0;Russia;;2.0;1546082951.0;0;;;1
1;16.4.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546009872.0;0;;;2
1;2.11.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546092422.0;0;;;1
1;4.3.1984;1984;287;112.0;Petrozavodsk;342;1.0;Russia;;2.0;1546108792.0;0;;;1
1;23.2.1984;1984;287;191.0;Kingisepp;16;1.0;Russia;;1.0;1546031929.0;0;;;2
1;12.9.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546108851.0;0;;;1
1;19.5.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1546101622.0;0;;;1
1;15.5.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1546105564.0;0;;;1
1;18.2.1984;1984;287;49.0;Yekaterinburg;186;1.0;Russia;;4.0;1546103662.0;0;;;1
1;23.12.1984;1984;287;35.0;Velikiy Novgorod;166;1.0;Russia;;1.0;1546106759.0;0;;;1
1;28.2.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546090958.0;0;;;1
1;20.9.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546103698.0;0;;;1
1;25.11.1984;1984;287;8.0;Cherepovets;165;1.0;Russia;;2.0;1546109267.0;1;3140623;1.0;1
1;23.9.1984;1984;287;112.0;Petrozavodsk;342;1.0;Russia;;1.0;1546107422.0;0;;;1
1;1.8.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1533276453.0;0;;;1
1;13.6.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546041872.0;0;;;1
1;1.7.1984;1984;287;99.0;Novosibirsk;178;1.0;Russia;;4.0;1546106195.0;0;;;1
1;18.5.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546082803.0;0;;;1
1;19.12.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1545925174.0;0;;;1
1;26.9.1984;1984;287;6123.0;Stroitel;4;1.0;Russia;;4.0;1546106327.0;0;;;1
1;8.7.1984;1984;287;4691846.0;GuantÃ¡namo;1;104.0;Cuba;;2.0;1546108443.0;0;;;2
1;27.4.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109017.0;0;;;1
1;18.1.1984;1984;287;87.0;Murmansk;246;1.0;Russia;;1.0;1546103415.0;0;;;1
1;9.2.1984;1984;287;;;0;;;;1.0;1546109410.0;1;;1.0;1
1;23.4.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1546072339.0;0;;;2
1;19.11.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1546101307.0;0;;;1
1;25.9.1984;1984;287;292.0;Odessa;259;2.0;Ukraine;;4.0;1546079608.0;0;;;2
1;1.5.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546050150.0;0;;;1
1;18.11.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546105976.0;0;;;1
1;27.6.1984;1984;287;2807.0;Savinsky;2;1.0;Russia;;1.0;1546106038.0;0;;;1
1;14.9.1984;1984;287;42.0;Voronezh;121;1.0;Russia;;4.0;1546100289.0;0;;;1
1;3.11.1984;1984;287;141.0;Tver;82;1.0;Russia;;1.0;1546093073.0;0;;;1
1;7.1.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546107684.0;0;;;1
1;21.8.1984;1984;287;88.0;Naberezhnye Chelny;64;1.0;Russia;;2.0;1546090905.0;0;;;1
1;20.2.1984;1984;287;112.0;Petrozavodsk;342;1.0;Russia;;4.0;1546109295.0;0;;;1
1;24.2.1984;1984;287;112.0;Petrozavodsk;342;1.0;Russia;;4.0;1546099842.0;0;;;1
1;26.6.1984;1984;287;1057.0;Lviv;210;2.0;Ukraine;;4.0;1518197979.0;0;;;2
1;30.8.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546105515.0;0;;;1
1;14.11.1984;1984;287;223.0;Donetsk;170;2.0;Ukraine;;1.0;1495426483.0;0;;;1
1;13.2.1984;1984;287;314.0;Kyiv;960;2.0;Ukraine;;7.0;1544468097.0;0;;;1
1;31.7.1984;1984;287;4644.0;Zheleznogorsk;11;1.0;Russia;;4.0;1546108179.0;0;;;1
1;3.7.1984;1984;287;110.0;Perm;154;1.0;Russia;;7.0;1546109387.0;1;;;2
1;15.5.1984;1984;287;177.0;Vyborg;108;1.0;Russia;;4.0;1546103892.0;0;;;1
1;3.5.1984;1984;287;22.0;Arkhangelsk;180;1.0;Russia;;4.0;1546064629.0;0;;;1
1;12.7.1984;1984;287;41.0;Vologda;250;1.0;Russia;;1.0;1543733201.0;0;;;2
1;7.11.1984;1984;287;2070.0;Ustyuzhna;6;1.0;Russia;;4.0;1546103458.0;0;;;1
1;24.6.1984;1984;287;152.0;Ukhta;19;1.0;Russia;;1.0;1546104542.0;0;;;1
1;17.5.1984;1984;287;143.0;Tolyatti;62;1.0;Russia;;2.0;1546106700.0;0;;;1
1;25.9.1984;1984;287;177.0;Vyborg;108;1.0;Russia;;4.0;1546100358.0;0;;;1
1;20.11.1984;1984;287;2980.0;Nytva;1;1.0;Russia;;2.0;1546090604.0;0;;;1
1;20.1.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109452.0;1;2274003;1.0;2
1;30.4.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109359.0;0;;;1
