GROUP;bdate;year.bdate;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
1;7.12.1958;1958;1057.0;Lviv;210;2.0;Ukraine;;4.0;1546109188.0;0;;;1
1;17.tammi;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1543935408.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;1.0;1546067764.0;0;;;2
1;21.9.1991;1991;1057.0;Lviv;210;2.0;Ukraine;;7.0;1544145762.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;2.0;1544726699.0;0;;;2
1;29.9.1990;1990;1057.0;Lviv;210;2.0;Ukraine;;7.0;1503516607.0;0;;;2
1;26.6.1984;1984;1057.0;Lviv;210;2.0;Ukraine;;4.0;1518197979.0;0;;;2
1;30.syys;2018;1057.0;Lviv;210;2.0;Ukraine;;2.0;1545700756.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;1.0;1496687348.0;0;;;1
1;2.tammi;2018;1057.0;Lviv;210;2.0;Ukraine;;;1492707063.0;0;;;2
1;24.4.1998;1998;1057.0;Lviv;210;2.0;Ukraine;;2.0;1534935297.0;0;;;2
1;18.touko;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1546109208.0;1;;;2
1;6.maalis;2018;1057.0;Lviv;210;2.0;Ukraine;;4.0;1516461058.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1525369539.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;4.0;1494334048.0;0;;;2
1;24.syys;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1545897190.0;0;;;2
1;21.11.1997;1997;1057.0;Lviv;210;2.0;Ukraine;;1.0;1545949515.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1513706625.0;0;;;2
1;25.touko;2018;1057.0;Lviv;210;2.0;Ukraine;;1.0;1540651147.0;0;;;2
1;24.8.1993;1993;1057.0;Lviv;210;2.0;Ukraine;;7.0;1546089376.0;0;;;2
1;5.9.1996;1996;1057.0;Lviv;210;2.0;Ukraine;;4.0;1546064056.0;0;;;2
1;3.6.1990;1990;1057.0;Lviv;210;2.0;Ukraine;;7.0;1546109407.0;1;;;1
1;12.6.1993;1993;1057.0;Lviv;210;2.0;Ukraine;;4.0;1542143505.0;0;;;2
1;5.elo;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1369115600.0;0;;;1
1;9.marras;2018;1057.0;Lviv;210;2.0;Ukraine;;4.0;1545436543.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1472224449.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1494093685.0;0;;;2
1;7.3.1982;1982;1057.0;Lviv;210;2.0;Ukraine;;4.0;1484767194.0;0;;;1
1;19.loka;2018;1057.0;Lviv;210;2.0;Ukraine;;4.0;1546107638.0;0;;;2
1;24.heinä;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1540632060.0;0;;;2
1;1.1.1984;1984;1057.0;Lviv;210;2.0;Ukraine;;7.0;1398356498.0;0;;;1
1;31.joulu;2018;1057.0;Lviv;210;2.0;Ukraine;;1.0;1452614337.0;0;;;1
1;27.huhti;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1532611531.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1368265953.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;1.0;1535257012.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1465714737.0;0;;;2
1;6.6.1996;1996;1057.0;Lviv;210;2.0;Ukraine;;7.0;1382215011.0;0;;;2
1;12.maalis;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1497467940.0;0;;;1
1;10.8.1988;1988;1057.0;Lviv;210;2.0;Ukraine;;7.0;1438763905.0;0;;;1
1;10.kesä;2018;1057.0;Lviv;210;2.0;Ukraine;;2.0;1535481402.0;0;;;1
1;19.kesä;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1479498599.0;0;;;1
1;20.tammi;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1439720622.0;0;;;1
1;28.5.1989;1989;1057.0;Lviv;210;2.0;Ukraine;;7.0;1519244732.0;0;;;2
1;8.loka;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1537787802.0;0;;;2
1;16.11.1998;1998;1057.0;Lviv;210;2.0;Ukraine;;4.0;1545889691.0;0;;;2
1;15.helmi;2018;1057.0;Lviv;210;2.0;Ukraine;;2.0;1485250805.0;0;;;2
1;29.3.1982;1982;1057.0;Lviv;210;2.0;Ukraine;;1.0;1494144328.0;0;;;2
1;21.syys;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1363635693.0;0;;;2
1;14.2.1985;1985;1057.0;Lviv;210;2.0;Ukraine;;4.0;1533228768.0;0;;;1
1;11.touko;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1355757033.0;0;;;2
1;28.6.1964;1964;1057.0;Lviv;210;2.0;Ukraine;;7.0;1495125319.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;1.0;1404547275.0;0;;;2
1;12.heinä;2018;1057.0;Lviv;210;2.0;Ukraine;;1.0;1535028477.0;0;;;2
1;16.11.1978;1978;1057.0;Lviv;210;2.0;Ukraine;;4.0;1516986011.0;0;;;2
1;24.kesä;2018;1057.0;Lviv;210;2.0;Ukraine;;4.0;1545627856.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;4.0;1520185419.0;0;;;1
1;13.2.1980;1980;1057.0;Lviv;210;2.0;Ukraine;;1.0;1439800344.0;0;;;2
1;22.10.1997;1997;1057.0;Lviv;210;2.0;Ukraine;;7.0;1354188773.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1495063022.0;0;;;2
1;13.4.1986;1986;1057.0;Lviv;210;2.0;Ukraine;;4.0;1511001696.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1389366899.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1486205064.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;4.0;1505487394.0;0;;;1
1;12.7.1992;1992;1057.0;Lviv;210;2.0;Ukraine;;4.0;1495140992.0;0;;;2
1;8.syys;2018;1057.0;Lviv;210;2.0;Ukraine;;1.0;1545867870.0;0;;;2
1;21.10.1992;1992;1057.0;Lviv;210;2.0;Ukraine;;1.0;1517512413.0;0;;;1
1;17.loka;2018;1057.0;Lviv;210;2.0;Ukraine;;2.0;1546078607.0;0;;;2
1;5.joulu;2018;1057.0;Lviv;210;2.0;Ukraine;;4.0;1546066641.0;0;;;2
1;4.12.1987;1987;1057.0;Lviv;210;2.0;Ukraine;;1.0;1530991307.0;0;;;1
1;16.1.1986;1986;1057.0;Lviv;210;2.0;Ukraine;;7.0;1486402717.0;0;;;2
1;8.heinä;2018;1057.0;Lviv;210;2.0;Ukraine;;4.0;1539802941.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1380873973.0;0;;;2
1;27.10.1998;1998;1057.0;Lviv;210;2.0;Ukraine;;7.0;1385370973.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1345056715.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;1.0;1420757226.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1489159744.0;0;;;2
1;12.kesä;2018;1057.0;Lviv;210;2.0;Ukraine;;4.0;1546027610.0;0;;;1
1;29.7.1999;1999;1057.0;Lviv;210;2.0;Ukraine;;7.0;1343233931.0;0;;;1
1;21.marras;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1468826886.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1494701173.0;0;;;1
1;1.8.1998;1998;1057.0;Lviv;210;2.0;Ukraine;;7.0;1542684888.0;0;;;2
1;1.4.1985;1985;1057.0;Lviv;210;2.0;Ukraine;;7.0;1457124087.0;0;;;2
1;4.8.1986;1986;1057.0;Lviv;210;2.0;Ukraine;;7.0;1495198277.0;0;;;2
1;24.loka;2018;1057.0;Lviv;210;2.0;Ukraine;;2.0;1533853070.0;0;;;2
1;9.6.1995;1995;1057.0;Lviv;210;2.0;Ukraine;;4.0;1545989991.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1535628574.0;0;;;1
1;15.heinä;2018;1057.0;Lviv;210;2.0;Ukraine;;1.0;1499707602.0;0;;;1
1;3.10.1990;1990;1057.0;Lviv;210;2.0;Ukraine;;7.0;1546102295.0;0;;;1
1;27.heinä;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1496998179.0;0;;;2
1;2.heinä;2018;1057.0;Lviv;210;2.0;Ukraine;;4.0;1493398170.0;0;;;2
1;25.syys;2018;1057.0;Lviv;210;2.0;Ukraine;;1.0;1543739797.0;0;;;2
1;31.touko;2018;1057.0;Lviv;210;2.0;Ukraine;;7.0;1483873036.0;0;;;1
1;12.3.1982;1982;1057.0;Lviv;210;2.0;Ukraine;;4.0;1544133792.0;0;;;2
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;1.0;1496746454.0;0;;;2
1;18.2.1987;1987;1057.0;Lviv;210;2.0;Ukraine;;7.0;1372273491.0;0;;;1
1;;1900;1057.0;Lviv;210;2.0;Ukraine;;7.0;1494751806.0;0;;;2
1;18.7.1998;1998;1057.0;Lviv;210;2.0;Ukraine;;1.0;1545860492.0;0;;;2
